gis_nr,farm_id,bfsnr,gembez,estate_nr,flaeche,blw_nr,blw_name,harvest_date,has_nhg_contract,lz_code,hang_50,hang_reb_0,hang_reb_30,hang_reb_50,einzelkulturbeitrag,outside_canton,bfs_parz,birth,bfsnr_num,has_bff_q2_contract,has_connectivity_contract,has_lqb_contract,region,contribution,used,operating_rate,hang_0,hang_18,hang_35,q1_from,geodb_oid
"346936",0159/ 1/ 14,"0159",Uetikon am See,"4869",32,"0712",Christbäume,,0,31,0,0,0,0,N,N,0159_4869,2023,159,N,N,N,Brand,J,J,100,30,2,0,,121498
"33111",0154/ 1/ 56,"0154",Küsnacht (ZH),"11544",44,"0712",Christbäume,,0,31,0,0,0,0,N,N,0154_11544,2023,154,N,N,N,Eichelacker,J,J,100,3,30,11,,122577
"345333",0097/ 1/ 19,"0097",Rümlang,"4934",15,"0712",Christbäume,,0,31,0,0,0,0,N,N,0097_4934,2023,97,N,N,N,Breitenstein,J,J,100,15,0,0,,123009
"88593",0089/ 1/  2,"0055",Eglisau,"3081",13,"0712",Christbäume,,0,31,0,0,0,0,N,N,0055_3081,2023,55,N,N,N,Breiti,J,J,100,13,0,0,,124052
"308642",0261/ 1/999,"0250",Urdorf,"3542",1,"0712",Christbäume,,0,31,0,0,0,0,N,N,0250_3542,2023,250,N,N,N,Wirbel,J,J,100,1,0,0,,124402
"38261",0117/ 1/ 28,"0117",Hinwil,"3273",16,"0712",Christbäume,,0,41,0,0,0,0,N,N,0117_3273,2023,117,N,N,N,Zinggenbüel,J,J,100,0,13,3,,124745
"116085",0053/ 1/ 66,"0053",Bülach,"8165",39,"0712",Christbäume,,0,31,0,0,0,0,N,N,0053_8165,2023,53,N,N,N,Hauffeld,J,J,100,39,0,0,,125834
"331863",0198/ 1/123,"0198",Uster,G1426,7,"0712",Christbäume,,0,31,0,0,0,0,N,N,0198_G1426,2023,198,N,N,N,Hooggen,J,J,100,2,5,0,,127216
"121058",0053/ 1/ 48,"0053",Bülach,"6541",71,"0712",Christbäume,,0,31,0,0,0,0,N,N,0053_6541,2023,53,N,N,N,Loch,J,J,100,64,7,0,,127762
"358269",0219/ 1/ 54,"0219",Elsau,"813",3,"0712",Christbäume,,0,31,0,0,0,0,N,N,0219_813,2023,219,N,N,N,Hindersetzi,J,J,100,3,0,0,,127832
"350503",0261/ 1/998,"0007",Knonau,"154",33,"0712",Christbäume,,0,31,0,0,0,0,N,N,0007_154,2023,7,N,N,N,Unbekannt,J,J,100,0,30,3,,128070
"334648",0219/ 1/ 54,"0219",Elsau,"3486",109,"0712",Christbäume,,0,31,0,0,0,0,N,N,0219_3486,2023,219,N,N,N,Juchert/Holzacher,J,J,100,109,0,0,,128926
"34553",0214/ 1/ 51,"0291",Andelfingen,AD948,15,"0712",Christbäume,,0,31,0,0,0,0,N,N,0291_AD948,2023,291,N,N,N,Wälschen,J,J,100,15,0,0,,129555
"96878",0214/ 1/ 51,"0291",Andelfingen,AD2087,5,"0712",Christbäume,,0,31,0,0,0,0,N,N,0291_AD2087,2023,291,N,N,N,beim Schulhaus,J,J,100,5,0,0,,130826
"124191",0248/ 1/ 13,"0248",Uitikon,"3038",103,"0712",Christbäume,,0,31,0,0,0,0,N,N,0248_3038,2023,248,N,N,N,Gläsern,J,J,100,82,18,3,,131090
"114977",0053/ 1/ 40,"0053",Bülach,"6037",199,"0712",Christbäume,,0,31,0,0,0,0,N,N,0053_6037,2023,53,N,N,N,Hinterros,J,J,100,199,0,0,,131822
"115042",0053/ 1/ 40,"0053",Bülach,"6596",75,"0712",Christbäume,,0,31,0,0,0,0,N,N,0053_6596,2023,53,N,N,N,Bienenhaus,J,J,100,28,45,2,,131816
"11296451",0159/ 1/ 14,"0159",Uetikon am See,"5156",16,"0712",Christbäume,,0,31,0,0,0,0,N,N,0159_5156,2023,159,N,N,N,Bolteracker,J,J,100,16,0,0,,131855
"344384",0158/ 1/ 91,"0158",Stäfa,"8396",10,"0712",Christbäume,,0,31,0,0,0,0,N,N,0158_8396,2023,158,N,N,N,Lattenberg,J,J,100,9,1,0,,132488
"121387",0251/ 1/ 29,"0251",Weiningen (ZH),"2980",6,"0712",Christbäume,,0,31,0,0,0,0,N,N,0251_2980,2023,251,N,N,N,"Schluechti 2965,3308,3309",J,J,100,6,0,0,,132988
"315511",0064/ 1/ 32,"0064",Nürensdorf,"2334",18,"0712",Christbäume,,0,31,0,0,0,0,N,N,0064_2334,2023,64,N,N,N,Oekowiese oberhalb Nussbäumen,J,J,100,2,15,1,,133507
"346904",0159/ 1/ 14,"0159",Uetikon am See,"5157",13,"0712",Christbäume,,0,31,1,0,0,0,N,N,0159_5157,2023,159,N,N,N,Bolteracker,J,J,100,11,1,0,,133983
"322453",0198/ 1/246,"0198",Uster,A4838,4,"0712",Christbäume,,0,31,0,0,0,0,N,N,0198_A4838,2023,198,N,N,N,Waldgässli,J,J,100,4,0,0,,134390
"124145",0248/ 1/ 13,"0248",Uitikon,"247",8,"0712",Christbäume,,0,31,0,0,0,0,N,N,0248_247,2023,248,N,N,N,Binzmatt,J,J,100,8,0,0,,134454
"337317",0072/ 1/ 23,"0072",Winkel,"467",8,"0712",Christbäume,,0,31,0,0,0,0,N,N,0072_467,2023,72,N,N,N,Säget,J,J,100,1,7,0,,134608
"114807",0261/ 1/ 99,"0261",Zürich,AR5647,4,"0712",Christbäume,,0,31,0,0,0,0,N,N,0261_AR5647,2023,261,N,N,N,Albisrieden 7,J,J,100,4,0,0,,134690
